,Eps Score,Eps Length
0,-1172.680787472435,200
1,-1082.6001043062463,200
2,-1514.4099764845007,200
3,-1317.0317080784725,200
4,-1503.0411425303862,200
5,-1188.3305319786998,200
6,-1106.4089422501545,200
7,-1043.652339483124,200
8,-1185.54653073834,200
9,-1180.2688359636097,200
10,-1065.5876204727533,200
11,-1768.7091463248546,200
12,-1298.1304057912168,200
13,-1362.7353882041143,200
14,-1162.8032619474998,200
15,-1112.7520414814242,200
16,-1048.316781044841,200
17,-1021.4857676027807,200
18,-891.7592258930374,200
19,-796.3543489193502,200
20,-1061.6585530025936,200
21,-879.0394548348598,200
22,-1166.2930293020893,200
23,-650.3979002430609,200
24,-813.9806974956007,200
25,-758.6475565847869,200
26,-632.8129281907859,200
27,-1503.8637139871687,200
28,-646.9847659109599,200
29,-635.22890889795,200
30,-1124.4942758790553,200
31,-1177.837973621629,200
32,-626.2277202597191,200
33,-624.289960674524,200
34,-618.8164925556486,200
35,-386.39912101312774,200
36,-614.7797386357438,200
37,-385.9607173918624,200
38,-501.9440966053454,200
